New Category,Possible Matching Option
Airplanes,Cars
GrapesWine,Entertainment spending
Newspapers,Economy/Management
GolfPuttingGreens,Outdoor activities
Sailing,Outdoor activities
Biking,Outdoor activities
Reading,Reading
Books,Reading
Coffee,Healthy eating
Hiking,Outdoor activities
MusicFestivals,Entertainment Spending
